city_name,lat,lng,max_temp,hum,cloud,wind_speed,country_code,date
Cape Town,-33.93,18.42,69.01,82,75,12.75,ZA,10/23/2020
Walvis Bay,-22.96,14.51,69.8,60,0,8.05,NA,10/23/2020
General Roca,-39.03,-67.58,77.23,46,7,17.09,AR,10/23/2020
Saint Paul Harbor,57.79,-152.41,44.6,93,90,26.4,US,10/23/2020
Neuquén,-38.95,-68.06,77.95,43,58,11.41,AR,10/23/2020
Ushuaia,-54.8,-68.3,46.4,61,40,17.22,AR,10/23/2020
Vaini,-21.2,-175.2,71.6,88,20,9.17,TO,10/23/2020
Mahibadhoo,3.78,72.97,82.45,79,10,13.98,MV,10/23/2020
Hermanus,-34.42,19.23,75.99,71,19,1.01,ZA,10/23/2020
Maryborough,-25.53,152.7,68.95,84,99,5.79,AU,10/23/2020
Hobart,-42.88,147.33,54,76,90,1.81,AU,10/23/2020
Skeldon,5.88,-57.13,86.11,71,39,7.4,GY,10/23/2020
Romitan,39.93,64.38,50,46,0,6.93,UZ,10/23/2020
Tambilil,5.96,124.67,80.67,71,100,1.81,PH,10/23/2020
Dingle,11,122.67,76.37,91,100,6.06,PH,10/23/2020
Dunedin,-45.87,170.5,51.01,87,59,1.99,NZ,10/23/2020
Kavieng,-2.57,150.8,81.95,67,3,5.91,PG,10/23/2020
Praia da Vitória,38.73,-27.07,69.8,100,40,11.45,PT,10/23/2020
Busselton,-33.65,115.33,57,42,0,13.65,AU,10/23/2020
Chicama,-7.84,-79.15,62.6,82,90,9.17,PE,10/23/2020
Ribeira Grande,38.52,-28.7,69.8,68,40,13.87,PT,10/23/2020
Jesolo,45.53,12.64,57.99,93,75,3.36,IT,10/23/2020
Barrow,71.29,-156.79,32,98,90,9.17,US,10/23/2020
Umm Kaddadah,13.6,26.69,93.76,10,10,8.46,SD,10/23/2020
Pevek,69.7,170.31,26.94,95,0,12.66,RU,10/23/2020
Gawler,-34.6,138.73,57,74,100,5.99,AU,10/23/2020
Necochea,-38.55,-58.74,62.01,78,57,1.99,AR,10/23/2020
Yerbogachën,61.28,108.01,26.42,96,65,5.53,RU,10/23/2020
Barzas,55.72,86.32,30.2,74,40,11.18,RU,10/23/2020
East London,-33.02,27.91,71.6,88,40,18.34,ZA,10/23/2020
Namie,37.48,141,61,72,40,1.99,JP,10/23/2020
Bengkulu,-3.8,102.27,78.4,83,100,4.16,ID,10/23/2020
Dikson,73.51,80.55,23.5,95,100,15.19,RU,10/23/2020
Kampong Thom,12.71,104.89,74.64,83,100,4.36,KH,10/23/2020
Albany,42.6,-73.97,71.01,77,48,1.99,US,10/23/2020
Iranshahr,27.2,60.68,80.6,10,0,18.34,IR,10/23/2020
Río Gallegos,-51.62,-69.22,50,76,90,4.7,AR,10/23/2020
Mareeba,-17,145.43,77,78,75,1.81,AU,10/23/2020
Verkhnyaya Maksakovka,61.63,50.97,26.6,73,40,13.42,RU,10/23/2020
Rikitea,-23.12,-134.97,73.9,78,48,3.51,PF,10/23/2020
Jalalpur Jattan,32.64,74.22,75.2,57,0,5.7,PK,10/23/2020
Ostrovnoy,68.05,39.51,30.4,98,100,11.59,RU,10/23/2020
Mataura,-46.19,168.86,54,75,88,7,NZ,10/23/2020
Mitú,1.2,-70.17,80.6,85,99,1.12,CO,10/23/2020
Provideniya,64.38,-173.3,33.82,91,100,14.27,RU,10/23/2020
Tuktoyaktuk,69.45,-133.04,24.8,92,90,14.99,CA,10/23/2020
Bredasdorp,-34.53,20.04,71.6,78,39,11.41,ZA,10/23/2020
Punta Arenas,-53.15,-70.92,44.6,75,75,8.05,CL,10/23/2020
Leningradskiy,69.38,178.42,23.76,91,0,4.79,RU,10/23/2020
Vrangel',42.73,133.08,37.76,72,0,20.92,RU,10/23/2020
Lindi,-10,39.72,82.4,69,20,10.29,TZ,10/23/2020
Longyearbyen,78.22,15.64,19.4,73,20,2.24,SJ,10/23/2020
Rūdbār,30.15,62.6,62.53,30,0,13.89,AF,10/23/2020
Butaritari,3.07,172.79,82.31,70,90,12.37,KI,10/23/2020
Hue,16.47,107.6,71.6,78,40,3.36,VN,10/23/2020
Morón,-34.65,-58.62,70,82,90,4.7,AR,10/23/2020
La Ronge,55.1,-105.28,21.2,79,90,10.29,CA,10/23/2020
Port Alfred,-33.59,26.89,76.03,73,56,11.12,ZA,10/23/2020
Lebu,-37.62,-73.65,55.53,60,95,6.38,CL,10/23/2020
Zaria,11.11,7.72,87.37,27,33,7,NG,10/23/2020
Abohar,30.15,74.18,74.61,19,0,4.94,IN,10/23/2020
San Patricio,28.02,-97.52,84,83,40,3.36,US,10/23/2020
San Quintín,30.48,-115.95,65.23,70,100,5.57,MX,10/23/2020
Sunrise Manor,36.21,-115.07,64.99,18,0,11.41,US,10/23/2020
Chokurdakh,70.63,147.92,6.35,90,33,5.84,RU,10/23/2020
Avarua,-21.21,-159.78,73.4,73,99,10.29,CK,10/23/2020
Linxia Chengguanzhen,35.6,103.21,49.96,64,100,1.86,CN,10/23/2020
